,City,State,Percent unemployment,State sale tax rate,Local tax rate,Total rate,Median Income,AvgTuition,Rank_Unemployment,Rank_Sales,Rank_income,Rank_Tution,Sum,Economy_rank
0,Atlanta,GA,10.2,0.04,0.049,0.08900000000000001,59345.0,10309.0,30.0,44.5,22.0,15.0,111.5,14.0
1,Austin,TX,6.3,0.063,0.02,0.083,65886.0,8729.0,4.0,27.5,29.0,21.5,82.0,34.0
2,Baltimore,MD,11.1,0.06,0.0,0.06,50492.0,12273.0,34.5,4.5,10.0,10.0,59.0,47.0
3,Birmingham,AL,,4.05,0.06,0.1,,,35.5,47.0,36.0,38.0,156.5,4.0
4,Boston,MA,6.6,0.063,0.0,0.063,62180.0,20442.0,6.0,4.5,25.0,1.0,36.5,50.0
5,Buffalo,NY,,0.04,0.048,0.08800000000000001,,16305.0,35.5,42.5,36.0,2.5,116.5,9.0
6,Charlotte,NC,9.9,0.048,0.025,0.073,65622.0,,29.0,34.0,28.0,38.0,129.0,5.0
7,Chicago,IL,9.8,0.063,0.04,0.10300000000000001,56121.0,7844.0,27.5,38.5,15.0,28.0,109.0,17.0
8,Cincinnati,OH,7.2,0.057999999999999996,0.013000000000000001,0.07,49048.0,6304.0,9.5,21.0,9.0,33.0,72.5,43.5
9,Cleveland,OH,7.9,0.057999999999999996,0.023,0.08,35685.0,6304.0,17.0,32.0,1.0,33.0,83.0,33.0
10,Columbus,OH,6.5,0.057999999999999996,0.018000000000000002,0.075,54763.0,6304.0,5.0,24.0,13.0,33.0,75.0,39.5
11,Dallas,TX,7.9,0.063,0.02,0.083,44838.0,8729.0,17.0,27.5,5.0,21.5,71.0,45.5
12,Denver,CO,8.9,0.028999999999999998,0.048,0.077,59155.0,10468.0,22.5,42.5,20.0,14.0,99.0,21.5
13,Detroit,MI,,0.06,0.0,0.06,,6791.0,35.5,4.5,36.0,29.0,105.0,19.0
14,Hartford,CT,,,,,,,35.5,48.0,36.0,38.0,157.5,2.0
15,Houston,TX,7.6,0.063,0.02,0.083,48889.0,8729.0,14.0,27.5,8.0,21.5,71.0,45.5
16,Indianapolis,IN,8.9,0.07,0.0,0.07,56862.0,6515.0,22.5,4.5,17.0,31.0,75.0,39.5
17,Jacksonville,FL,,0.06,0.01,0.07,,7996.0,35.5,17.0,36.0,25.5,114.0,11.5
