State,Percent
 Maine,89.00%
 New Hampshire,77.50%
 West Virginia,77.20%
 Vermont,75.70%
 Alabama,70.60%
 Georgia,64.20%
 South Carolina,63.80%
 Mississippi,61.90%
 Virginia,60.70%
 North Carolina,59.90%
 Pennsylvania,55.30%
 Arkansas,55.10%
 Connecticut,54.70%
 Tennessee,52.90%
 Massachusetts,52.50%
 Michigan,51.20%
 New York,50.90%
 Rhode Island,50.80%
 Louisiana,49.20%
 Kentucky,48.60%
 Wisconsin,45.20%
 Florida,42.40%
 Washington,40.70%
 New Jersey,39.50%
 Oregon,38.80%
 Maryland,37.90%
 Idaho,31.80%
 Alaska,30.40%
 Missouri,30.30%
 Delaware,30.00%
 Minnesota,28.90%
 Ohio,28.90%
 Montana,20.60%
 Indiana,18.90%
 California,17.80%
 Colorado,17.50%
 Hawaii,17.00%
 Oklahoma,14.20%
 Illinois,11.50%
 Wyoming,9.20%
 Utah,8.90%
 Texas,7.00%
 New Mexico,5.60%
 Iowa,5.40%
 Arizona,4.80%
 South Dakota,3.10%
 Kansas,2.80%
 Nebraska,1.80%
  North Dakota,1.00%
 Nevada,0.50%
