City,State,Jan_T,April_T,july_T,Oct_T,Prep_inch,Prep_days,Snowfall_inch,Green_score,Air,Water_quality,Toxics,Hazardous,Sanitation
Atlanta,GA,42.7,61.6,80,62.8,50.2,115,2.1,43.36,15,26,4,11,39
Austin,TX,50.2,68.3,84.2,70.6,33.65,85,0.9,55.68,44,9,48,50,NaN
Baltimore,MD,32.3,53.2,76.5,55.4,41.94,115,21.5,50.81,16,33,14,24,41
Birmingham,AL,42.6,61.3,80.2,62.9,53.99,117,1.5,44.45,8,20,8,28,33
Boston,MA,29.3,48.3,73.9,54.1,42.53,127,42.8,61.37,29,7,39,5,11
Buffalo,NY,24.5,45.3,70.8,50.7,40.54,169,93.6,58.44,34,50,27,26,47
Charlotte,NC,41.7,60.9,80.3,61.7,43.51,112,5.6,49.46,28,34,22,27,28
Chicago,IL,22,47.8,73.3,52.1,36.27,125,38,49.5,3,6,7,4,18
Cincinnati,OH,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.52,19,35,11,38,34
Cleveland,OH,25.7,47.6,71.9,52.2,38.71,155,57.6,39.46,9,25,26,31,26
Columbus,OH,28.3,52,75.1,54.7,38.52,137,28.2,45.81,24,50,31,45,NaN
Dallas,TX,44.1,65,85,67.2,34.73,79,2.6,43.11,20,28,30,31,16
Denver,CO,29.2,47.6,73.4,51,15.81,89,60.3,50.28,27,50,44,19,NaN
Detroit,MI,24.5,48.1,73.5,51.9,32.89,135,41.3,41.04,10,27,20,10,49
Hartford,CT,25.7,48.9,73.7,51.9,46.16,128,49.6,NaN,32,29,47,9,44
Houston,TX,51.8,68.5,83.6,70.4,47.84,105,0.4,41.7,7,39,3,19,20
Indianapolis,IN,26.5,52,75.4,54.6,40.95,126,23.9,47.63,23,31,33,44,27
Jacksonville,FL,53.1,66.6,81.6,69.4,52.34,116,NaN,37.78,45,24,19,20,NaN
Kansas City,MO,26.9,54.4,78.5,56.8,37.98,104,19.9,44.18,19,16,25,13,NaN
Las Vegas,NV,47,66,91.2,68.7,4.49,26,1.2,48.82,12,50,40,49,7
Los Angeles,CA,57.1,60.8,69.3,66.9,13.15,35,NaN,59.33,2,38,28,3,17
Louisville,KY,33,56.4,78.4,58.5,44.54,124,16.4,38.02,21,15,15,39,35
Memphis,TN,39.9,62.1,82.5,63.8,54.65,107,5.1,40.85,22,12,24,29,46
Miami,FL,68.1,75.7,83.7,78.8,58.53,131,NaN,50.98,50,11,36,8,9
Milwaukee,WI,20.7,45.2,72,51.4,34.81,125,47,51.91,37,10,38,38,10
Minneapolis,MN,13.1,46.6,73.2,48.7,29.41,115,49.9,62.48,33,30,21,35,31
Nashville,TN,36.8,58.5,79.1,59.9,48.11,119,10.1,48.86,30,14,18,46,38
New Orleans,LA,52.6,68.2,82.7,70,64.16,114,0.2,51.77,39,13,10,48,21
New York,NY,32.1,52.5,76.5,56.6,49.69,121,28.6,60.16,11,2,23,1,NaN
Oklahoma City,OK,36.7,59.7,82,62,35.85,83,9.5,39.57,43,1,45,41,40
Orlando,FL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.31,48,23,9,38,48
Philadelphia,PA,32.3,53.1,77.6,57.2,42.05,117,20.8,50.45,14,22,16,2,37
Phoenix,AZ,54.2,70.2,92.8,74.6,8.29,36,NaN,51.81,17,37,1,22,23
Pittsburgh,PA,27.5,49.9,72.6,52.5,37.85,152,43.6,44.9,6,5,5,23,29
Portland,OR,39.9,51.2,68.1,54.3,37.07,153,6.5,64.4,49,50,35,32,43
Providence,RI,28.7,48.6,73.3,53,46.45,124,36,NaN,39,8,41,7,22
Richmond,VA,36.4,57.1,77.9,58.3,43.91,114,13.8,NaN,31,4,13,34,36
Riverside,CA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.39,1,50,43,25,15
Rochester,NY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46,32,32,43,19
Sacramento,CA,46.3,58.9,75.4,64.4,17.93,58,NaN,66.29,4,50,49,40,24
Salt Lake City,UT,29.2,50,77,52.5,16.5,91,58.7,NaN,26,50,2,14,42
San Antonio,TX,50.3,68.6,84.3,70.7,32.92,82,0.7,48.14,42,18,42,47,8
San Diego,CA,57.8,62.6,70.9,67.6,10.77,41,NaN,72.9,13,50,46,42,14
San Francisco,CA,49.4,56.2,62.8,61,20.11,63,NaN,74.24,47,50,34,16,12
San Jose,CA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.86,41,50,50,21,32
Seattle,WA,40.9,50.2,65.3,52.7,37.07,155,11.4,63.35,36,21,37,15,13
St. Louis,MO,29.6,56.6,80.2,58.3,38.75,111,19.6,45.22,5,36,6,6,25
Tampa,FL,61.3,71.5,82.5,75.8,44.77,106,NaN,43.5,40,3,17,17,50
Virginia Beach,VA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.63,35,17,29,33,30
Washington,DC,34.9,56.1,79.2,58.8,39.35,113,17.1,68.73,25,19,12,13,45
