City,State,Percent unemployment,State sale tax rate,Local tax rate,Total rate,Median Income,AvgTuition,Rank_Unemployment,Rank_Sales,Rank_Income,Rank_Tuition,Sum,Economy_rank,Economy_ref,Lat,Lon
Atlanta,GA,10.2,0.04,0.049,0.089,59345,10309,30,44.5,22,15,111.5,37,14,33.7490987,-84.3901849
Austin,TX,6.3,0.063,0.02,0.083,65886,8729,4,27.5,29,21.5,82,17,34,30.2711286,-97.7436995
Baltimore,MD,11.1,0.06,0,0.06,50492,12273,34.5,4.5,10,10,59,4,47,39.2908816,-76.610759
Birmingham,AL,,4.05,0.06,0.1,,,35.5,47,36,38,156.5,47,4,33.5206824,-86.8024326
Boston,MA,6.6,0.063,0,0.063,62180,20442,6,4.5,25,1,36.5,1,50,42.3604823,-71.0595678
Buffalo,NY,,0.04,0.048,0.088,,16305,35.5,42.5,36,2.5,116.5,42,9,42.8867166,-78.8783922
Charlotte,NC,9.9,0.048,0.025,0.073,65622,,29,34,28,38,129,46,5,35.2270869,-80.8431268
Chicago,IL,9.8,0.063,0.04,0.103,56121,7844,27.5,38.5,15,28,109,34,17,41.8755546,-87.6244212
Cincinnati,OH,7.2,0.058,0.013,0.07,49048,6304,9.5,21,9,33,72.5,7.5,43.5,39.1014537,-84.5124602
Cleveland,OH,7.9,0.058,0.023,0.08,35685,6304,17,32,1,33,83,18,33,41.5051613,-81.6934446
Columbus,OH,6.5,0.058,0.018,0.075,54763,6304,5,24,13,33,75,11.5,39.5,39.9622601,-83.0007065
Dallas,TX,7.9,0.063,0.02,0.083,44838,8729,17,27.5,5,21.5,71,5.5,45.5,32.7762719,-96.7968559
Denver,CO,8.9,0.029,0.048,0.077,59155,10468,22.5,42.5,20,14,99,29.5,21.5,39.7391536,-104.9847034
Detroit,MI,,0.06,0,0.06,,6791,35.5,4.5,36,29,105,32,19,42.3486635,-83.0567375
Hartford,CT,,,,,,,35.5,48,36,38,157.5,49,2,41.7645491,-72.6908673
Houston,TX,7.6,0.063,0.02,0.083,48889,8729,14,27.5,8,21.5,71,5.5,45.5,29.7589382,-95.3676974
Indianapolis,IN,8.9,0.07,0,0.07,56862,6515,22.5,4.5,17,31,75,11.5,39.5,39.7683331,-86.1583502
Jacksonville,FL,,0.06,0.01,0.07,,7996,35.5,17,36,25.5,114,39.5,11.5,30.3321838,-81.655651
Kansas City,MO,6.9,0.042,0.041,0.083,59980,9497,7,40,23,18,88,23,28,39.0844687,-94.5630298
Las Vegas,NV,,0.069,0.013,0.082,,9687,35.5,21,36,17,109.5,35,16,36.1662859,-115.149225
Los Angeles,CA,11.1,0.073,0.02,0.093,56558,13277,34.5,27.5,16,6,84,20.5,30.5,34.054935,-118.244476
Louisville,KY,,0.06,0,0.06,,,35.5,4.5,36,38,114,39.5,11.5,38.2542376,-85.759407
Memphis,TN,,0.07,0.023,0.093,,8759,35.5,32,36,19,122.5,45,6,35.1490215,-90.0516285
Miami,FL,,0.06,0.01,0.07,,7996,35.5,17,36,25.5,114,39.5,11.5,25.7742658,-80.1936589
Milwaukee,WI,9.4,0.05,0.006,0.056,44113,4357,26,12,3,37,78,16,35,43.0349931,-87.922497
Minneapolis,MN,5.7,0.069,0.009,0.078,64095,6656,2.5,14,26,30,72.5,7.5,43.5,44.9772995,-93.2654692
Nashville,TN,7.3,0.07,0.023,0.093,59270,,11.5,32,21,38,102.5,31,20,36.1622296,-86.7743531
New Orleans,LA,10.6,0.05,0.05,0.1,48789,6125,31,46,7,35,119,43,8,29.9499323,-90.0701156
New York,NY,11,0.04,0.049,0.089,58608,16305,33,44.5,19,2.5,99,29.5,21.5,40.7306458,-73.9866136
Oklahoma City,OK,5.2,0.045,0.039,0.084,58370,5464,1,37,18,36,92,24,27,35.4729886,-97.5170536
Orlando,FL,,0.06,0.005,0.065,,7996,35.5,10,36,25.5,107,33,18,28.5421232,-81.3790475
Philadelphia,PA,10.9,0.06,0.02,0.08,48330,10852,32,27.5,6,11.5,77,14,37,39.9523993,-75.1635899
Phoenix,AZ,7.3,0.056,0.03,0.086,60366,10492,11.5,35,24,13,83.5,19,32,33.4485866,-112.0773456
Pittsburgh,PA,7,0.06,0.01,0.07,51907,10852,8,17,11,11.5,47.5,2,49,40.4416941,-79.9900861
