City,State,Population,Violent,Rape,Robbery,Colleges,Percent_graduate_degree,AvgSATScore,NumTop200UnivInState,NumHospital
Atlanta,GA,410606,1119.6,36.6,429.3,12,12.7,1208,3,113
Austin,TX,797215,372.5,51.9,99,9,11,1221,6,378
Baltimore,MD,612701,1535.9,46.2,694.2,11,8.5,1227,4,52
Birmingham,AL,212157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Boston,MA,615462,706.8,36.1,233.1,22,13.8,1277,16,77
Buffalo,NY,"258,096",1118.6,67,400.2,NaN,NaN,1234,28,195
Charlotte,NC,745596,677.6,24.6,221.8,8,8.6,NaN,NaN,NaN
Chicago,IL,2679998,903.8,52.5,353.6,42,9.3,1241,5,143
Cincinnati,OH,292050,925,79.1,423.1,8,8.9,1240,7,151
Cleveland,OH,396441,1334.3,124,769.3,8,4.5,1240,7,151
Columbus,OH,796520,546.3,95.1,264.2,8,7.8,1240,7,151
Dallas,TX,1199739,694.2,60.1,320.8,10,5.9,1221,6,378
Denver,CO,597466,673.9,80.3,180.2,13,10.9,1257,5,53
Detroit,MI,"673,225",1759.6,78.7,513.5,NaN,NaN,1302,4,105
Hartford,CT,123243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Houston,TX,2131940,966.7,43.3,451.7,17,6.6,1221,6,378
Indianapolis,IN,831943,1288,78.4,440.2,11,6.5,1234,6,97
Jacksonville,FL,"867,258",648.3,54.3,161.2,NaN,NaN,1199,4,218
Kansas City,MO,458064,1417.3,77.3,359.8,15,7.3,1314,2,88
Las Vegas,NV,"1,562,134",920.7,70.9,320.7,NaN,NaN,1214,0,27
Los Angeles,CA,3811518,634.8,55.7,225.9,30,6.7,1247,23,346
Louisville,KY,"680,550",631.8,30.1,227,NaN,NaN,NaN,NaN,NaN
Memphis,TN,"657,936",1740.1,80.6,475.9,NaN,NaN,1234,3,108
Miami,FL,"437,969",1021.3,18.3,383.8,NaN,NaN,1199,4,218
Milwaukee,WI,593545,1596.1,72.6,624.4,12,5.4,NaN,2,76
Minneapolis,MN,388229,1062.9,98.4,458.5,8,12.5,1289,5,56
Nashville,TN,603394,1101,77,280.7,13,8.3,NaN,NaN,NaN
New Orleans,LA,349773,949.6,104,380.5,10,8.5,NaN,1,105
New York,NY,8110206,585.8,14,198.2,103,9.6,1234,28,195
Oklahoma City,OK,588053,765.6,76.1,189,6,6,NaN,1,97
Orlando,FL,"268,438",940.6,67.8,194.5,NaN,NaN,1199,4,218
Philadelphia,PA,1522648,1029,84.3,431.5,18,6.4,1213,16,179
Phoenix,AZ,1418687,593.8,65.1,193.6,11,6.2,1209,0,73
Pittsburgh,PA,308090,706.2,26.7,279.6,10,12.7,1213,16,179
Portland,OR,598205,472.8,42.6,137.6,16,11.8,NaN,NaN,NaN
Providence,RI,179129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Richmond,VA,220289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Riverside ,CA,"323,064",446,42.4,161,NaN,NaN,NaN,NaN,NaN
Rochester,NY,213178,NaN,NaN,NaN,4,7.8,NaN,NaN,NaN
Sacramento,CA,"489,717",737.4,21.4,239.7,NaN,NaN,1247,23,346
Salt Lake City,UT,193744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
San Antonio,TX,1365256,587.2,71.7,135.7,7,5.5,1221,6,378
San Diego,CA,1319558,398.6,40.4,98.4,16,10.9,1247,23,346
San Francisco,CA,808854,776.8,39.8,417.9,17,16,1247,23,346
San Jose,CA,956368,329.6,36.4,110.5,4,9.8,1247,23,346
Seattle,WA,624070,598.7,21.1,224.1,8,16.8,1196,4,63
St.Louis,MO,304219,1817.1,82.9,564.5,6,7.8,NaN,NaN,NaN
Tampa,FL,340509,630.7,21.1,184.1,6,7.5,1199,4,218
Virginia Beach,VA,438243,138.3,22.7,59.6,3,7.3,1228,8,92
Washington ,DC,607731,1202.6,73.5,506.4,17,19.6,NaN,NaN,NaN
