,Air,Water,Toxics,Hazardous,Green_score,Natural_total_rank,City,State,Population,Crime_rank,Hospital_rank,Early_education_rank,University_education_rank,Human_related_rank,Rank_unemployment,Rank_sale_rate,Rank_Income,Rank_Tuition,Economy_rank,Bar_Rank,Restaurant_Rank,Museums_Rank,Libraries_Rank,Park_Rank,TopRes_Rank,Tertiary_Rank,Latitude,Longitude
0,15.0,26.0,4.0,11.0,9.0,3.0,Atlanta,GA,410606.0,33.0,22.0,29.0,16.5,27.0,30.0,44.5,14.0,23.0,34.0,21.0,21.0,10.0,14.0,28.0,6.0,16.0,33.7490987,-84.3901849
1,44.0,9.0,48.0,50.0,33.0,45.0,Austin,TX,797215.0,3.0,2.5,22.5,14.0,5.0,4.0,27.5,7.0,16.5,4.0,15.0,12.0,19.0,19.5,4.0,8.5,8.0,30.2711286,-97.7436995
2,16.0,33.0,14.0,24.0,26.0,19.0,Baltimore,MD,612701.0,40.0,36.0,20.0,20.0,36.0,34.5,4.5,26.0,28.0,25.0,13.0,19.0,9.0,16.0,24.5,21.5,17.0,39.2908816,-76.610759
3,8.0,20.0,8.0,28.0,12.0,8.0,Birmingham,AL,212157.0,45.0,38.0,35.0,36.0,48.0,35.5,47.0,36.0,38.0,47.0,34.0,34.0,34.0,34.0,34.0,22.5,42.0,33.570499,-86.765783
4,29.0,7.0,39.0,5.0,37.0,21.0,Boston,MA,615462.0,18.0,30.0,4.0,9.0,10.0,6.0,4.5,11.0,37.0,7.0,24.0,14.0,8.0,6.0,24.5,6.0,11.0,42.3604823,-71.0595678
5,34.0,45.0,27.0,26.0,34.0,42.0,Buffalo,NY,,34.0,14.5,16.5,36.0,28.0,35.5,42.5,36.0,35.5,46.0,34.0,34.0,34.0,34.0,34.0,22.5,42.0,42.8867166,-78.8783922
6,28.0,34.0,22.0,27.0,21.0,26.0,Charlotte,NC,745596.0,16.0,38.0,35.0,23.5,33.5,29.0,34.0,8.0,38.0,32.5,25.0,16.0,29.0,25.0,12.0,22.5,26.5,35.2270869,-80.8431268
7,3.0,6.0,7.0,4.0,22.0,1.0,Chicago,IL,2679998.0,25.0,21.0,11.0,2.5,8.0,27.5,38.5,21.0,10.0,28.0,2.0,3.0,4.0,4.0,33.0,3.0,4.0,41.8755546,-87.6244212
8,18.5,35.0,11.0,37.0,28.0,24.0,Cincinnati,OH,292050.0,28.0,19.0,13.0,29.0,21.0,9.5,21.0,27.0,5.0,8.0,27.0,32.0,27.5,19.5,11.0,21.5,28.0,39.1014537,-84.5124602
9,9.0,25.0,26.0,30.5,3.0,14.0,Cleveland,OH,396441.0,39.0,19.0,13.0,31.0,29.5,17.0,32.0,35.0,5.0,23.0,17.0,31.0,20.5,9.0,28.0,21.5,24.5,41.5051613,-81.6934446
10,24.0,45.0,31.0,45.0,16.0,39.0,Columbus,OH,796520.0,14.0,19.0,13.0,25.0,14.0,5.0,24.0,23.0,5.0,5.0,11.5,18.0,31.0,24.0,17.0,21.5,22.0,39.9622601,-83.0007065
11,20.0,28.0,30.0,30.5,8.0,20.0,Dallas,TX,1199739.0,22.0,2.5,22.5,15.0,11.0,17.0,27.5,31.0,16.5,24.0,11.5,9.0,18.0,11.0,9.0,21.5,9.0,32.7762719,-96.7968559
12,27.0,45.0,44.0,18.5,24.0,38.0,Denver,CO,597466.0,17.0,35.0,5.0,12.0,12.0,22.5,42.5,16.0,24.0,31.0,16.0,15.0,12.0,13.0,21.0,12.0,14.0,39.7348381,-104.9653271
13,10.0,27.0,20.0,10.0,6.0,5.5,Detroit,MI,,43.0,24.5,2.0,36.0,31.0,35.5,4.5,36.0,9.0,21.0,34.0,34.0,34.0,34.0,34.0,22.5,42.0,42.3486635,-83.0567375
14,32.0,29.0,47.0,9.0,46.0,40.0,Hartford,CT,123243.0,45.0,38.0,35.0,36.0,48.0,35.5,48.0,36.0,38.0,49.0,34.0,34.0,34.0,34.0,34.0,22.5,42.0,41.3403944,-72.0243982
15,7.0,39.0,3.0,18.5,7.0,7.0,Houston,TX,2131940.0,31.0,2.5,22.5,4.0,9.0,14.0,27.5,28.0,16.5,22.0,3.0,4.0,6.0,5.0,10.0,12.0,2.0,29.7589382,-95.3676974
