State,City,Bars,Restaurant,Museums,Libraries,Pro_sports_team,Park_acres_per_1000_residents,NumTop200Restau
Georgia,Atlanta,146,1566,37,37,5,7,3
Texas,Austin,212,2135,25,35,0,37,2
Maryland,Baltimore,243,1590,45,36,2,8,0
Alabama,Birmingham,,,,,,,
Massachusetts,Boston,136,2064,51,54,3,8,3
New York,Buffalo,,,,,,,
North Carolina,Charlotte,121,1685,16,26,3,20,
Illinois,Chicago,807,6438,76,99,8,4,19
Ohio,Cincinnati,105,600,18,35,2,21,0
Ohio,Cleveland,204,866,23,51,3,7,0
Ohio,Columbus,249,1656,13,27,2,14.7,0
Texas,Dallas,249,2808,26,43,2,23,0
Colorado,Denver,207,1741,33,39,6,10,1
Michigan,Detroit,,,,,,,
Connecticut,Hartford,,,,,,,
Texas,Houston,549,5549,58,63,6,22,1
Indiana,Indianapolis,195,1679,21,35,4,14,0
Florida,Jacksonville,,,,,,,
Missouri,Kansas City,113,921,28,19,3,36,0
Nevada,Las Vegas,,,,,,,
California,Los Angeles,393,8305,106,108,5,6,15
Kentucky,Louisville,,,,,,,
Tennessee,Memphis,,,,,,,
Florida,Miami,,,,,,,
Wisconsin,Milwaukee,390,947,20,30,2,16,2
Minnesota,Minneapolis,97,969,21,25,4,13,0
Tennessee,Nashville,138,1493,30,35,3,18,
Louisiana,New Orleans,284,986,34,20,2,84,3
New York,New York,1220,22320,356,341,8,5,60
Oklahoma,Oklahoma City,102,1251,29,13,2,39,0
Florida,Orlando,,,,,,,
Pennsylvania,Philadelphia,400,3821,91,100,5,7,1
Arizona,Phoenix,179,2384,22,44,5,28,0
Pennsylvania,Pittsburgh,143,992,23,36,3,10,0
Oregon,Portland,313,2084,20,23,2,25,
Rhode Island,Providence,,,,,,,
Virginia,Richmond,,,,,,,
California,Riverside,,,,,,,
New York,Rochester,78,502,14,17,3,7,
California,Sacramento,,,,,,,
Utah,Salt Lake City,,,,,,,
Texas,San Antonio,345,2914,31,36,3,17,0
California,San Diego,189,3126,53,52,2,36,1
California,San Francisco,394,3430,70,52,2,7,20
California,San Jose,68,1578,12,31,4,17,0
Washington,Seattle,219,2307,29,42,4,9,1
Missouri,St. Louis,,,,,,,
Florida,Tampa,91,1114,18,19,4,10,0
Virginia,Virginia Beach,24,1144,10,18,0,68,
District Of Columbia,Washington,,,,,,,
